"ALB","AUS","AUT","BEL","BRA","BGR","BLR","CAN","CHL","CHN","CYP","CZE","DNK","EST","FIN","FRA","DEU","GHA","GRC","GTM","HKG","HUN","IDN","IRL","ISR","ITA","CIV","JAM","JPN","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","MYS","MUS","MEX","NAM","NLD","NZL","NOR","PAN","PHL","POL","PRT","RUS","LCA","SAU","SEN","IND","SGP","SVK","VNM","SVN","ZAF","ESP","SWZ","SWE","CHE","THA","TTO","ARE","TUR","UKR","EGY","GBR","TZA","USA","VEN","ZMB","NGA","PNG","DZA","ETH","MLT","ROU","TUN","MKD","CUB","PRY","BHR","BGD","BIH","BWA","LKA","LUX","PLW","PAK","SRB","TON","YEM","BLZ","PYF","QAT","MAR","PER","SYR","HND","KHM","GIN","FSM","SDN","ISL","GMB","SYC","SLV","AGO","LTU","ZWE","ECU","WSM","MDA","UZB","BTN","OMN","NPL","UGA","MDV","COD","MWI","MOZ","BOL","HRV","GUY","IRN","LBY","RWA","BRB","CAF","CRI","GEO","TLS","KNA"
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,1.01,0,0,0,0,2235.783,0,0,42.455,0,0,0,6.736,0,0,0,94.775,0,0,0,0,0,0,0,1465.377,0,0,0,0,0,0,0,0,94.009,0,0,0,0,22.654,0,0,0,0,0,0,0,0,0,129.16,14.986,0,0,0,0,0,0,0,0,7.578,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0.214,0,989.312,0,1.278,0,0,0,0.373,3.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0,0,1.05,0,0,0,0,32.026,0,42.089,0,1.986,0.029,0,1.045,3698.607,2.251,0,0.119,0,0,0,0,6.395,0,12.528,0,0,5647.624,0,0,0,0,0,0,0,0,0,0,0,0,10.106,0,0,0,0,23.978,0.404,0,0,219.2,0,0,0,0,0,0,0,12.926,0,1.167,0,0,0,0,0,0.448,0,4.145,0,98.872,0,0,0,0,0.067,0.051,55.409,18.975,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0,0,0,0,0,0,0,331.03,0,0,0,0,0,1063.309,4.319,0,0,0,0,0,0,0,0,0,0,0,285.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5186.527,0,6.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584.092,0,0,0,0,0,0,0,20.414,0,0,0,0,0,0,0,61.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.269,0,0,0,0,0,0,0,0,0,0,0,12.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,16.048,0,9.866,0,0,0,0,50622.421,0,0,0,0,0,91.697,24237.594,0,0,0,22.335,0,0,58.968,0,29.029,0,0,321.456,0,0,0,552.452,0,0,0,0,0,0,0,0,11.29,0,3.811,0,0,0,0,0,0,0,0,76.129,726.225,0,0,0,0,81.577,0,0,0,0,0,0,0,0,0,0,0,12538.316,0,0,0,0,0,0,0,0,0,0,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",1.779,625.777,488.475,1648.234,0,0,0,1825.274,0,0,0,15.995,0,41.36,798.18,15349.289,18088.672,0,106.391,0,17030.33,21,5.645,0,0,444.68,0,0,128698.542,0,2.274,0,53187.466,1458.347,0.34,0,0,6.432,0,0,0,448,0,8839.464,0,0,7.161,0,1722.171,0,852.534,0,9238.04,258.298,0,49.748,0,0.059,62.792,0,0,118.129,2040.74,0,19.67,5613.628,10.708,53.618,445.274,0,15823.346,144.178,0,0,0,0,0.137,0,0,0,0,0,0,3110.822,49.098,59.179,0.039,0.022,18.462,0.465,126.282,246.656,0.084,3.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.656,0,0,339.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,114.52,0,0,0,0,0,0,3949.108,0,0,0,0,0,0,4853.131,0,0,0,546.172,0,0,0,0,0,0,0,580.256,0,0,0,1707.438,0,0,0,0,0,0,0,0,0,0,0,0,0,574.824,0,93.542,0,0,0,0,0,542.683,0,0,0,5.97,0,0,0,0,0,854.257,0,0,0,13.753,0,610.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,464.638,226.067,0,0,0,0,0,0,874.803,0,525.57,0,0,0,0,0,0,0,0,49.083,0,0,0,0,5.735,0,0,157.153,0,0,0,3245.343,0,0,0,5.598,0,0,0,0,0,0,5218.822,0,0,4.859,0,1113.526,0,0,0,0,0,0,0,0,0,0,0,3.695,0,0,0,0,0,0.24,0,0,0,2997.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.982,0,0,0,0,4.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,20756.698,0,0,0,3.142,0,0,0,0,0,0,1941.425,0,0,0,0,0,0,0,13604.245,0,0,0,644.756,0,0,0,0,0,0,0,0,0,0,22.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,2226.611,9.497,0,6.652,0,0,0,9775.427,0,357.455,0,0,1.475,0,114.717,0,0,0,0,0,1.475,0,7.376,1081.935,0,0,666.199,0,0,0,0,0,0,0,0,0,0,0,0,803.528,0,0,0,0,1.475,0,470.032,0,0,0,1812.78,1.537,0,0,0,2.95,352.553,0,0,197.7,0,0,0,0,26.847,0,1045.62,0,11.11,0,0,0,0,0,0,29.502,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.147,1.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",3.811,587.113,576.597,1383.167,2.222,982.466,0,956.115,0,386490.779,4.644,22080.286,507.743,0,5653.517,7059.985,0,0,692.939,0,8434.628,11.293,0,0,21,43.114,0,0,208605.859,8.654,0,0,43803.688,20.005,6865.602,5.691,0,16.746,3.379,0,0,206.429,0.886,27145.901,0,7436.395,707.197,10.302,37886.91,0,6.755,0,4821.086,123738.51,0,0,0,173.776,32472.561,0,109.66,18080.784,0,0,12.821,5.518,38067.564,0,34506.626,0,134213.442,0,0,0,0,0,7.229,0,0.941,0,0,0,0,0.247,3.698,0,0,0,0.973,0,0,0,0,1.856,0,0,0,9.558,48.79,7.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",1.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,78196.604,0,0,0,0,0,5.894,19.832,0,0,0,0,0,0,0,0,0,0,0,2.208,0,0,0,19400.438,0,0,0,0,0,0,0,0,0,27.699,0,0,0,0,0,64.177,0,0,0,154.912,149.178,0,0,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,379.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,3.382,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.163,0,0,0,3.193,0,0,0,0,7.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,2.601,1.064,0,0,0,0,0,0,0,0.329,0,0,0,4.526,1.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922,0,0,0,0,0,0,2175.988,0,0,0,0,1.833,0,0,0.195,0,0,0,0,0,0,43.439,0,3.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,7,0,0,0,0,0,0,0,1500.997,0,0,0,0,0,1.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0.818,0,0,0,0,0,105.73,0,0,203717.492,1.509,3620.436,0,0,0,0,86.772,0.942,3.556,0,3409.139,11,0,0,0,0,0,0,5325.672,0,0,0,7540.053,0,0,0,0,19453.175,0,0.777,0,0,0,89.709,0,0,0,29.849,90.993,0,0,0,0,602.987,0,0,0,0.447,2481.388,0,0,2330.813,16.188,0,42.758,0,0,0,0,0,22076.184,0,0,0,0,0,0,13.357,557.284,0,0,0,0,3.596,0,162.739,0,0.062,0,0,0,0,0,0,0,0,0.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0.067,726.67,0,3536.722,0,0,0,93.287,0,529367.134,0,2.361,19.618,0,11386.617,4039.163,58107.077,0,0,0,62379.497,0,8670.193,0,0,3.289,0,0,0,0,0,0,149677.153,0,0,0,0,59017.011,0,12.3,0,2710.606,0,2357.278,0,34082.228,6.983,0,4.5,0,0,0,551.139,12170.553,0,0,0,4218.907,3718.448,0,0.154,5792.097,38.213,0,2299.935,0,355.661,0,83281.989,0,64518.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.379,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,108.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,5.484,0,0,0,451792.329,0,0,128.148,0,742.694,0.008,10914.137,0,0,0,49830.496,0.61,1.807,0,0,1992.728,0,0,68731.416,0,0,0,0,0,31.495,0,0,693.643,0,0,0,244.835,0,1313.444,0,53677.306,0,0,0,0,0,0,417.435,10095.399,0,0,0,0,0,0,0,2498.868,0,0,0,4.551,0,0,207.429,0,7061.992,0,0,0,0,0,0,0,0,0,0,0,0,0,14.661,0,0,1.845,0,0,1.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,2430.715,0,4.958,0,0,0,0,972.565,0,0,0,0,0,0,0,0,0,0,0,15.453,0,0,0,6.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,5056.645,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,463.725,0,0,64.486,0,0,0,33.913,0,0,0,0,0,1.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.246,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,18.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.284,0,51.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
