"","time","upstream_country","midstream_country","downstream_country","upstream_rate","midstream_rate","downstream_rate"
"1",1995,2.05952380952381,6.41666666666667,7.19047619047619,0.0245181405895692,0.0348731884057971,0.0363155363155363
"2",1996,1.78823529411765,2.97647058823529,3.92941176470588,0.021038062283737,0.0162648666023787,0.0197457877623411
"3",1997,1.71717171717172,2.62626262626263,3.28282828282828,0.0173451688603204,0.0136784511784512,0.0160922955040602
"4",1998,2.25555555555556,6.16666666666667,6.7,0.0250617283950617,0.0322862129144852,0.0333333333333333
"5",1999,2.44086021505376,4.36559139784946,4.90322580645161,0.026245808764019,0.0226196445484428,0.0238020670216098
"6",2000,2.69230769230769,4.5,5.14423076923077,0.025887573964497,0.0225,0.0239266547406082
"7",2001,2.51260504201681,5.28571428571429,5.83193277310924,0.0211143280841748,0.0256588072122053,0.0267519851977488
"8",2002,2.59349593495935,5.2520325203252,5.73983739837398,0.0210853328045476,0.0253721377793488,0.0263295293503394
"9",2003,1.94117647058824,4.15126050420168,4.63865546218487,0.0163124073158675,0.0197679071628651,0.0213762924524649
"10",2004,1.8595041322314,4.09090909090909,4.54545454545455,0.0153678027457141,0.0192967409948542,0.0208507089241034
"11",2005,2.65648854961832,5.25954198473282,5.6412213740458,0.0202785385467047,0.0248091603053435,0.025525888570343
"12",2006,2.6953125,5.3359375,5.7109375,0.02105712890625,0.0249342873831776,0.0260773401826484
"13",2007,2.60606060606061,3.71969696969697,4,0.019742883379247,0.0170628301362246,0.0181818181818182
"14",2008,1.90441176470588,2.39705882352941,2.76470588235294,0.0140030276816609,0.0112012094557449,0.0125668449197861
"15",2009,1.91304347826087,2.42753623188406,2.71014492753623,0.0138626339004411,0.0113436272517947,0.0124891471315034
"16",2010,1.82142857142857,2.39285714285714,2.70714285714286,0.0130102040816327,0.011026991441738,0.0123613829093281
"17",2011,1.81118881118881,2.31468531468531,2.62237762237762,0.0126656560222994,0.0106667526022365,0.0118659620922064
"18",2012,2.67153284671533,3.89051094890511,4.13868613138686,0.0195002397570462,0.0176041219407471,0.0184762773722628
"19",2013,3.26470588235294,5.07352941176471,5.53676470588235,0.0240051903114187,0.0230614973262032,0.0247176995798319
"20",2014,2.70454545454545,4.40909090909091,4.8030303030303,0.0204889807162534,0.0200413223140496,0.0216352716352716
"21",2015,2.90441176470588,4.46323529411765,4.80882352941176,0.0213559688581315,0.020195634815012,0.0215642310735954
"22",2016,2.60294117647059,4.13235294117647,4.375,0.0191392733564014,0.0186984295980836,0.01953125
"23",2017,2.64285714285714,3.92857142857143,4.19285714285714,0.0188775510204082,0.0176169122357463,0.018718112244898
"24",2018,2.95419847328244,4.74045801526718,5.03053435114504,0.0225511333838354,0.0211627589967285,0.0224577426390403
"25",2019,2.69047619047619,4.32539682539683,4.67460317460317,0.0213529856386999,0.0196608946608947,0.0208687641723356
