1995_Country,1995_Value,2000_Country,2000_Value,2005_Country,2005_Value,2010_Country,2010_Value,2015_Country,2015_Value,2019_Country,2019_Value,Country,Top 10 of all time,Trend of status changes
USA,421.0,USA,513.0,USA,550.0,USA,134.0,DEU,575.0,USA,563.0,USA,9.56,-0.03
JPN,399.0,JPN,131.0,JPN,442.0,CHN,116.0,CHN,276.0,CHN,244.0,DEU,8.2,0.09
FRA,49.0,FRA,54.0,CHN,100.0,DEU,43.0,USA,147.0,DEU,44.0,JPN,7.6,-0.14
DEU,49.0,CHN,50.0,DEU,65.0,ZAF,42.0,JPN,44.0,JPN,42.0,CHN,6.72,0.21
GBR,31.0,ZAF,39.0,FRA,31.0,FRA,29.0,AUS,26.0,FRA,31.0,FRA,5.0,-0.22
CHN,19.0,DEU,30.0,ZAF,27.0,JPN,23.0,ZAF,26.0,AUS,21.0,ZAF,3.76,0.06
ITA,19.0,UKR,27.0,ITA,24.0,GBR,23.0,ARE,25.0,NLD,20.0,AUS,3.16,-0.01
ZAF,17.0,AUS,24.0,IND,22.0,ITA,18.0,NOR,19.0,ARE,20.0,GBR,2.52,0.01
AUS,15.0,IND,18.0,AUS,20.0,NOR,18.0,FRA,18.0,NOR,15.0,ITA,1.68,-0.03
ESP,15.0,ESP,18.0,ESP,18.0,KOR,17.0,KOR,17.0,ESP,15.0,ARE,1.6,-0.12
